Sr. No.,Today's News,Description,Link,Date,Time
11,Nitish launches scheme for girl child post Muzaffapur sex scandal,"PATNA: Amid a barrage of attacks over the Muzaffarpur sex scandal, Bihar chief minister Nitish Kumar has launched an ambitious scheme which promises to provide Rs 54,100 from the birth of a girl child till she graduates.

Kumar launched the 'Mukhyamantri Kanya Utthan Yojana' here on Friday and expressed his government's resolve for empowerment of women.

In his launch speech, Kumar talked about his happiness over the start of the scheme, but at the same time said he was ""standing here with mixed feelings"" over the case of sex abuse at a state-funded girls' shelter home at Muzaffarpur"".

On the occasion, the chief minister also made several other announcements like increasing the amount under the 'Bicycle Yojna' from Rs 2500 to Rs 3000.

The scheme, launched by Nitish Kumar government in 2006, providing bicycles to school going girls, has won laurels in the country and abroad.

He also announced doubling the amount for purchase of sanitary napkin to Rs 300 from existing Rs 150 under the 'Kishori Swasthya Yojna.'

The ambitious 'Mukhyamantri Kanya Utthan Yojana' will be run by three departments — education, health and social welfare.

Giving details of the scheme, Kumar had said on birth of a girl child her family would get Rs 2000. After preparation of her Aadhaar card, the family would get an additional amount of Rs 1000.

If the family completes the whole range of immunisation within two years of a girl's birth, it will get a sum of Rs 2000.

After entry into class one in a school, a girl will get Rs 600 for purchase of uniform. Similarly, she will get Rs 700 for uniform in between class three to five and it will be scaled up to Rs 1000 when she reaches 6th to 8th standard and Rs 1500 in between 9th to 12th standard.

On clearance of Intermediate, a sum of Rs 10,000 will be given to encourage her to pursue higher education. For this, only unmarried girls are eligible.

After doing graduation, she will get Rs 25,000.

This will be applicable to married as well unmarried women of a family having only two girls.

A sum of Rs 7221 crore will be spend in a year on the programme.

State health minister Mangal Pandey told PTI that the scheme which provides incentive for completing immunisation within two years of birth will help in maintaining good health of girls.

Principal Secretary of Education R K Mahajan described the scheme as ""very progressive"" which would help lift female literacy and also combat child marriage and control population surge.

The list of the girls who have cleared the intermediate examination this year has been prepared and they will be given Rs 10,000 under this scheme, he said.

",https://timesofindia.indiatimes.com/india/nitish-launches-scheme-for-girl-child-post-muzaffapur-sex-scandal/articleshow/65278138.cms,5 Aug 2018, 12:37
12,"Around 10,000 jobs to be created under National Health Protection Scheme","NEW DELHI: At least 10,000 new jobs will be created with the implementation of the Centre's ambitious Ayushman Bharat-National Health Protection Mission (AB-NHPM), which aims to provide a cover of Rs 5 lakh per family annually to 10 crore poor families, according to a government official.

Around one lakh Ayushman Mitras will be deployed at both private and government hospitals under the scheme to assist patients coming to health facilities to avail packages under the mission.

The Health Ministry has signed a pact with the Skill Development Ministry for the recruitment of 1 lakh 'Ayushman Mitras'.

""Each empanelled hospital will have an 'Ayushman Mitra' to assist patients and will coordinate with beneficiaries and the hospital. They will run a help desk, check documents to verify eligibility and enrolment to the scheme.

""Around one lakh Ayushman Mitra's will be deployed at both private and government hospitals under the scheme,"" the official said.

Also, the Union health ministry has launched a formal process to empanel public and private hospitals to achieve universal health coverage under the programme and as many as 20,000 private and government hospitals have been linked under the scheme, the official said.

The Centre is simultaneously carrying out beneficiary identification and under the process 80 per cent of beneficiaries, based on the Socio Economic Caste Census (SECC) data in the rural and more than 60 per cent in urban areas, have been identified.

Announced in the 2018 Budget, the AB-NHPM was touted as the 'world's largest government funded health care scheme'.

Also, all beneficiaries will be given letters having QR codes which will be scanned and a demographic authentication conducted for identification and to verify his or her eligibility to avail benefits under the scheme.

Further, the government recently clarified that NABH is not mandatory for hospitals to get empanelled under the scheme.

Also, the basic empanelment criteria allows empanelment of a hospital with a minimum of 10 beds, with the flexibility provided to the states to further relax this if required.

",https://timesofindia.indiatimes.com/india/around-10000-jobs-to-be-created-under-national-health-protection-scheme/articleshow/65278024.cms,5 Aug 2018, 11:53
13,Article 35-A: Complete shutdown in Kashmir,"SRINAGAR: Life in Kashmir today came to a standstill due to a complete shutdown called by separatists against the legal challenge in the Supreme Court on the validity of Article 35-A, which bars people from outside Jammu and Kashmir from acquiring any immovable property in the state.


The situation across the valley is peaceful with no untoward incident reported from anywhere so far, officials said.

Shops and business establishments were closed across the valley while all kinds of transport remained off the roads due to the strike called.

The Joint Resistance Leadership (JRL) has called for a two-day strike - Sunday and Monday - as Supreme Court is scheduled to hear a PIL challenging the validity of the Article 35-A tomorrow.

The state government has filed an application before the Registrar of the Supreme Court, informing that it is going to seek adjournment of the hearing of the petition in view of the ""ongoing preparations for the upcoming Panchayat and urban local body and municipal elections in the state"".

The officials said security forces have been deployed in strength at vulnerable places in the city and elsewhere in Kashmir for maintaining law and order.

Various organisations included Bar Association, transporters and traders' bodies have extended support to the shutdown call of the JRL, comprising Syed Ali Shah Geelani, Mirwaiz Umar Farooq and Mohammad Yasin Malik.

Protests have been held across the length and breadth of Kashmir over the past few days with mainstream parties like the National Conference and PDP also holding rallies in support of continuing Article 35-A.

",https://timesofindia.indiatimes.com/india/article-35-a-complete-shutdown-in-kashmir/articleshow/65277758.cms,5 Aug 2018, 11:22
14,New crop insurance reports 15% drop in coverage of farmers; states which gave debt waivers see bigger decline,"NEW DELHI: The Centre's flagship crop insurance scheme, launched from kharif (summer sown crop) season of 2016-17, has reported a 15 per cent decline in coverage of farmers in its second year (2017-18) and one of the key reasons for this dip is the loan waiver announced by certain states last year.


Data on new crop insurance scheme, shared by the government in Parliament during ongoing monsoon session, shows that the farmers' enrolment under it declined from 57.3 million in 2016-17 to 48.8 million in 2017-18 with Karnataka, Rajasthan, Uttar Pradesh, Bihar and Maharashtra reporting higher declines in terms of coverage of farmers.

Incidentally, four of these five states - Karnataka, Rajasthan, Uttar Pradesh and Maharashtra - launched their loan waiver schemes last year, affecting the footprint of the Pradhan Mantri Fasal Bima Yojana (PMFBY) during 2017-18.

Giving reasons for the dip, the agriculture ministry in its written response to a Parliament question in Rajya Sabha on Friday said, ""This is mainly due to factors like announcement of debt waiver scheme in Maharashtra and Uttar Pradesh, farmer's perception of mitigated risk in 2017-18 which was a good monsoon year, de-duplication due to Aadhaar being made mandatory for coverage etc..""

Records show that UP, Maharashtra and Karnataka had announced their loan waiver schemes before the cut-off date for receipt of proposals of farmers for getting insurance for kharif crops under the PMFBY in 2017. Similarly, Rajasthan had announced it before the Rabi sowing season last year.

Karnataka has reported highest percentage decline (40 per cent) in the number of farmer applicants followed by Rajasthan (34 per cent), UP (22 per cent), Bihar (18 per cent) and Maharashtra (16 per cent). 

The fall in coverage in Bihar can, however, be explained by the state's resistance to PMFBY. Though it had opted for it in 2016-17, it developed cold feet the next year after facing delays in disbursal of claims to farmers in the first year of the scheme.

Figures, shared by the ministry in Parliament, show that overall premium and claims under the PMFBY, however, increased in 2017-18 as compared to 2016-17 despite decline in its coverage to farmers during the period.

The gross premium (shares of farmers, central government and state governments) had increased from Rs 165 billion in kharif 2016 to Rs 195 billion in kharif 2017 while the approved claims increased from Rs 104 billion to Rs 137 billion during the period.

However, the payment of claims did not increase at the same pace. Insurance companies had paid nearly Rs 102 billion to farmers as against the approved claims of Rs 104 billion for kharif 2016. But for Kharif 2017, only Rs 118 billion has, so far, been paid to farmers against the approved claims of Rs 137 billion, a clear indication that delay in disbursal of claims has become the biggest bottleneck in successful implementation of PMFBY.

Seeking to overcome this problem, the ministry has decided to bring some reforms where the insurance companies will have to pay the claim with 12% interest if they fail to clear it within two months. Even the state governments will have to pay interest to farmers if they (states) delay their shares of premium.

",https://timesofindia.indiatimes.com/india/new-crop-insurance-reports-15-drop-in-coverage-of-farmers-states-which-gave-debt-waivers-see-bigger-decline/articleshow/65277449.cms,5 Aug 2018, 10:59
15,No use of quota without jobs: Nitin Gadkari,"Union minister for road transport and highways Nitin Gadkari on Saturday said reservation to Marathas or any community is not the solution to a problem and job creation is the need of the hour.


“The solution is generation of employment and increasing the per capita income. Even if we give reservation, there are no jobs. Government has stopped recruitment even in banks because many tasks have been taken over by information technology,” said the minister.

Gadkari was speaking to reporters after attending a meeting in Aurangabad to review projects related to roads and highways. “While considering reservation for a community, a thought should also be given to a particular class from each community that do not even have food or clothes,” he said.

Meanwhile, in Pune, NCP leader Sharad Pawar on Saturday said the government should not disturb the SC, ST and OBC quotas while giving reservation to the Maratha community. “The government doesn’t want to take any concrete decision about the Maratha reservation. It wants to unite other communities’ organizations to isolate the Maratha protesters. By doing so, it will gain political mileage. But this will create unrest in the society. Instead, the government should rope in respected people, whom the agitators will listen to,” he said.


",https://timesofindia.indiatimes.com/india/no-use-of-quota-without-jobs-nitin-gadkari/articleshow/65277372.cms,5 Aug 2018, 13:48
16,"Snag in Air India rostering system sends duty messages to retired, quit and dead crew members","NEW DELHI: Almost five years after quitting as an Air India airhostess, Meera Bhatia* earlier this week received a message from the airline’s crew rostering system informing her that she had to operate a certain flight. Then Bhatia (name changed on request) received almost 40 mails in a duration of 48 hours informing her of several changes of flights that she had to operate.


Bhatia was not alone. Hundreds of crew members who had retired or had quit AI have been receiving such messages and mails this week from the airline’s automated crew management system (CMS). Thanks to an error which took it back to an old software that had the inactive members' numbers. Quite naturally, some of these communications landed in inboxes of now-deceased crew members and were read by their family members who still use those email accounts, say sources.

“It has been nearly five years since I quit my job at AI … I still miss my crew life and whenever I am travelling I feel like I could get out of my seat and still seamlessly launch into conducting the service if I had to… shall I borrow a uniform and report to (work),” said a Facebook post of an ex crew member.

An AI spokesman said mails for reporting to duty went to retired crew members and those who had quit due to an error in the system. “The snag was resolved on Friday morning,” said the spokesman. “Rostering is done entirely by CMS. An old version of CMS which was no longer in use was wrongly used due to a problem in the system. This led to ex crew members wrongly getting these messages,” said the spokesman.

Some retired employees called up the CMS and informed them of the error. Even some serving crew members were sent mails, wrongly informing of change in flights assigned. When such people got in touch with crew management, they were sent messages saying: “Dear crew, due to system updation, automatic email/notification has been generated. You are requested to ignore the same and follow the flight assignment as per (schedule).” Luckily the number of in-service crew members who got these mails was small and did not lead affect flights.

The snag in cabin crew rostering system comes even as the rostering of pilots is under the scanner following complaints of malpractices. Senior staffers responsible for preparing pilots' roster are being probed after allegations that rosters are being changed at the insistence of some pilots. Pilots were allegedly using flexibility in flying hours to pocket extra allowances. Sources said some pilots mutually decide among themselves on flight duties. One pilot would fly 40 hours and take the allowances for 70 hours by playing with the system.

",https://timesofindia.indiatimes.com/india/snag-in-air-india-rostering-system-sends-duty-messages-to-retired-quit-and-dead-crew-members/articleshow/65277298.cms,5 Aug 2018, 10:33
17,Pianist’s version of Jana Gana Mana gets 28 million views in a week,"NEW DELHI: When it comes to viral music videos, what comes to mind? Despacito, Shape of You...? Did you think the national anthem could garner 28 million views?


Mumbai-based entrepreneur and pianist Shayan Italia was surprised too when his 2.35-minute piano rendition of Jana Gana Mana racked up so many views.

Italia, 38, says the debates about the court order on the anthem in theatres made him think more deeply about the song. “I decided to come up with my version of it,” says Italia. He released the video online on July 29 with the hashtag #IWouldStandForThis.


",https://timesofindia.indiatimes.com/india/pianists-version-of-jana-gana-mana-gets-28-million-views-in-a-week/articleshow/65276320.cms,5 Aug 2018, 07:32
18,CWC is ‘corruption wali committee’: BJP,"NEW DELHI: BJP on Saturday claimed the Congress Working Committee (CWC) resolution to attack the government on issues over which the opposition party had faced embarrassment on earlier occasions makes it evident that it is short of ideas on how to corner the Modi government. 


“As per our information, the CWC has decided to continue raising issues like bank frauds, NRC, MSP, NPAs, which have been debated on several occasions and Congress had to run for cover as they had no reply over their indulgence in most of the issues on which the BJP has acted effectively rescuing the nation from the spate of corruption and state of indecision,” BJP spokesperson Sambit Patra said. 


",https://timesofindia.indiatimes.com/india/cwc-is-corruption-wali-committee-bjp/articleshow/65276308.cms,5 Aug 2018, 07:29
19,"Raped by headmaster, reads dead schoolgirl's note","MALKANGIRI: The class 10 girl whose body was found on Thursday night inside her school in the district allegedly committed suicide after being sexually assaulted by the headmaster, the police said.


The head master of the government-run residential school at Sikhpalli was arrested today on the basis of a note found in a notebook of the deceased, Superintendent of Police Jagmohan Meena said.

Her note accused the headmaster of being involved in sexual assault of minor girls in the school.

During investigation into the 14-year-old student's death, one more minor girl of the school told the police that she too was sexually assaulted by the headmaster, Meena said.

The headmaster was booked under various sections including 376 (rape), 341 (wrongful restraint) of the IPC and the Protection of Children from Sexual Offences (POCSO) Act.

The girl was found lying in a pool of blood in the computer room of the school on Thursday night.

She was rushed to Malkangiri district headquarters hospital where the doctors declared her brought dead.

The post-mortem report revealed that the cause of her death was an incised wound on the left wrist, the SP said.

Her family members alleged that the headmaster raped and killed her.

The police registered two cases - one for the deceased girl and another for the one who also accused the headmaster of sexually assaulting her.

",https://timesofindia.indiatimes.com/india/raped-by-headmaster-reads-dead-schoolgirls-note/articleshow/65276242.cms,5 Aug 2018, 07:08
20,"Now, startups let city folk play real Farmville","Swamyraj Kulkarni, 40, had never sown a plant in his life. But the yearning for fresh, chemical-free subzi made the IT professional turn farmer in March. The experience has been “eye-opening”, he says. “Now, I know what I eat and grow what I eat.”


But Kulkarni didn’t quit his job and take to the plough. He simply signed up with the startup Farmizen and rented a 600sq-ft plot near his home in north Bengaluru to grow organic vegetables. Every fortnight, he visits the farm with his fiveyear-old daughter and eight-year-old son to work with his farmer-partner Prithvi, who looks after the crops in his absence. There’s also an app that lets him track the status of his crops, and barter excess vegetables with members living nearby.


A number of other initiatives are also taking the headache out of farming. In Delhi, Kapil Mandawewala’s startup Edible Routes, which helps people set up kitchen gardens, has started offering a 2,400sq ft ‘farmlet’ with a free workshop and fortnightly veggie delivery for six months for Rs 29,992. “A terrace is never going to be enough to grow the majority of your food requirements,” he points out. “This also creates a community of like-minded people who are conscious about how they live and eat.”

Gurugram’s Mayuri Sharma signed up with Edible Routes after being unsuccessful in growing vegetables at home due to lack of sunlight. “It is not easy to access organic food yet, and this is also more cost-effective in the long run,” says Sharma, 35. Also, having spent her childhood amidst kitchen gardens, she wanted her three-year-old daughter to grow up knowing the “delight of getting your own gajar and mooli”.

Launched last July, Farmizen has a small but growing subscriber base of over 800 members spread across 14 farms. Founder Shameek Chakravarty, who hit upon the idea after his own stint with farming, says the biggest draw for customers is trust. “In a survey, 67% of our customers said they didn’t trust what was being sold in the market. This is directly farm to fork,” says Chakravarty.

Social enterprise Indian Superheroes is also planning to launch a similar farm app in Chennai, after getting an enthusiastic response to farming workshops in Coimbatore, where participants could rent a farm for a trial month.

Since models and prices vary, it’s difficult to tell whether these services are actually cheaper than buying organic produce. Subscribers of Farmizen pay a monthly fee of Rs 2,500 in return for leasing a 600sq ft plot which yields an average of 5-6kg of vegetables every week.

For Rs 60,000 a year, Delhi’s Organic Maati provides a one-acre plot for a year, and a supply of organic pulses, grains and vegetables, divided equally between the subscriber and the startup.

Yet Deepak Gupta, a banker who founded Organic Maati in 2016, says that urban farmers are also drawn to the experience itself. “It is about the joy of farming in its raw form, with fresh air, the sound of birds chirping, no gadgets, highrises and industries, and plenty of exercise, rather than just consuming the food delivered to your doorstep,” says Gupta.

Subscriber Saurabh Thirani simply wanted to connect with nature. “People like me who work in a fancy office for an MNC feel that gap in our lives even more acutely,” says the Gurugram-based CA, who visits his farm every weekend.

One of the aims is to help city dwellers understand where their food is coming from and foster a closer relationship between them and farmers. The ventures also claim to help farmers get a regular income and a bigger share of the sales by cutting out middlemen, besides encouraging natural farming methods without pesticides and chemical fertilisers. For example, Farmizen has a 50-50 revenue-sharing arrangement with farmers. Chennai’s Valam Organics focuses on community farming, where members share costs, work load, and the harvest based on initial investment. Valam, which focuses on local crop varieties of paddy and pulses, leases land from farmers who, in turn, get a monthly salary and a portion of the yield.

“Farmers get the worst deal in the economic pyramid. If we buy vegetables for Rs 50 a kilo, the farmer gets Rs 2. They are misled by companies into buying irrelevant equipment, seeds, fertilisers and get into a debt trap. The only way to solve this was by giving them financial security,” says Gupta of Organic Maati, which employs landless migrant farmers on a fixed income.

One of them, Phool Chand, 28, from Barabanki in UP, came to Delhi after his family was forced to sell off most of their land in the village. “I earn more money and have a place to stay. The new job has helped me increase my monthly savings by Rs 3,000,” he says.Now, startups let city folk play real Farmville



",https://timesofindia.indiatimes.com/india/now-startups-let-city-folk-play-real-farmville/articleshow/65276151.cms,5 Aug 2018, 06:12
21,"Ensure Ayushman Bharat health insurance scheme is free of fraud, Modi tells officials","NEW DELHI: Days ahead of the launch of the ambitious Ayushman Bharat insurance scheme, Prime Minister Narendra Modi urged officials to ensure the scheme is not tarred by fraud and pointed out that the approaching election season will mean smallest slips will be highlighted.


The Ayushman Bharat national health protection scheme (NHPS), often referred to as “Modicare”, will roll out in 12 states in the first phase beginning August 15 and will be completed by October 2.

""Take all kind of strong measures to prevent fraud and misuse of the scheme,"" Modi is understood to have urged officials at a high level review of the scheme’s preparedness. The PM said with elections at hand, mistakes or shortcomings are likely to be magnified and one needs to be ""extra careful”.

The PM also gave some suggestions for the logo, which is expected to be launched in a week. Besides, he asked health ministry to pay particular attention to ensuring that hospitals empanelled under the scheme maintain cleanliness and hygiene. 

Modi is also expected to announce the scheme from Red Fort during his Independence Day address. The review, which went on for more than 90 minutes on Saturday morning, was attended by top officials from the health ministry, Niti Aayog and PMO.

Modicare aims to cover nearly 50 crore beneficiaries from over 10.74 crore “deprived” families as per socio-economic and caste census (SECC) data with an annual health cover of Rs 5 lakh per family. .

States where the insurance scheme will be rolled out in the first phase include Chhattisgarh, Assam, Madhya Pradesh, West Bengal, Nagaland, Andhra Pradesh, Gujarat and most Union Territories. In the first leg, about three crore families with 15 crore individuals will be covered, an official told TOI.

So far the Centre has signed memorandum of understanding (MoUs) with 26 states, whereas four more - Delhi, Punjab, Rajasthan and Goa - are expected to come on board by next week. Some 6,000 hospitals have applied for empanelment so far.

The National Health Agency, the implementation agency for the scheme, has so far identified 10 crore families. “The verification process is going on and while some families are likely to have migrated since 2011 when the census was done, we have their names and they can come and claim benefits,” NHA chief Indu Bhushan said.

The NHA has also called for a meeting of chief secretaries and IT heads from all the 26 states over the weekend to work out the modalities and do dry runs before the final launch. The identification and verification process has been carried out through Gram Swaraj Abhiyan camps under Ayushman Bharat Diwas and through ASHA workers in three lakh villages.

While a total of 65 lakh families are yet to be identified under the beneficiary identification system, Uttar Pradesh has the most 23.61 lakh or 36% of missing families, followed by Bihar with 21.79 lakh or 34%. All the other states together have 19.45 lakh families missing from the list.


",https://timesofindia.indiatimes.com/india/ensure-ayushman-bharat-health-insurance-scheme-is-free-of-fraud-modi-tells-officials/articleshow/65275923.cms,5 Aug 2018, 05:03
22,Rahul must show some maturity: BJP,"NEW DELHI: BJP on Saturday said Congress president Rahul Gandhi should refrain from politicising sensitive issues like the ‘Muzaffarpur rapes’ for which the state government has assured strongest possible action against the accused.


“The high court is monitoring the entire case and CBI inquiry is on. However, opposition parties are taking up the issue for political reasons, which is highly condemnable,” said BJP spokesperson Anil Baluni.

Baluni said Gandhi “should show some maturity” on such incidents, which are shameful. “The matter has already been handed over to CBI. After that what prompted the opposition to stage dharna is beyond understanding,” Baluni added.


",https://timesofindia.indiatimes.com/india/rahul-must-show-some-maturity-bjp/articleshow/65275842.cms,5 Aug 2018, 04:15
23,"Rahul, Kejriwal join RJD’s Jantar Mantar rally, but avoid being in same frame","NEW DELHI: Delhi CM Arvind Kejriwal and Congress president Rahul Gandhi used the same platform- protest against mass rapes at a government-assisted women shelter in Bihar- at Jantar Mantar here on Saturday, but dodged each other to ensure that they don’t figure in the same photo frame. 


While Kejriwal took the stage at around 6 pm, Gandhi came to the venue around 7.15 pm. Leaders of RJD, who organized the protest of opposition parties against NDA, had no illusion that their exhortation for putting up a show of unity will not succeed in bringing the Congress chief and Delhi CM together.

“Rahul Gandhi won’t share the dais with Kejriwal and vice versa in Delhi. He (Gandhi) will come only after Kejriwal addresses the gathering and leaves the venue,” said a RJD source hours in advance.

The pain they took to keep distance from each other was yet another proof that while the imperative of taking on the dominant BJP may impel them to occasionally be on the same platform, Congress and AAP are not ready to bury the hatchet in Delhi: a factor which may see 3-way fight in the capital, featuring them and the saffron party.

While the Delhi CM has shown no appetite for tactical understanding, Delhi unit of Congress seems to be equally averse to the idea of putting up a united front against BJP which swept the 7 seats in the city in 2014. 

Despite the efforts of opposition parties to join hands against BJP, Delhi may still witness a three-way battle in the parliamentary elections. Congress appears reluctant to join hands with AAP in the capital in the face of strong opposition from its state unit headed by Ajay Maken.

Top Congress sources said state units are “the starting points for any talk on alliances” and their views could not be ignored.

In case of Delhi, AICC noted that its state unit was bitterly opposed to any truck with chief minister Arvind Kejriwal. “We cannot ignore this strong view,” a senior AICC office-bearer said.

Sources said Congress would also not join hands with the ruling Telangana Rashtra Samithi in Telangana because the state Congress is in direct contest with the local outfit.

The leadership’s position on Delhi comes despite pressure from other opposition leaders, including TMC chief Mamata Banerjee, that Congress should ally with AAP to defeat BJP.

Prior to Saturday, Gandhi and Kejriwal shared the dais twice — first to celebrate the defeat of BJP in Bihar in 2015 and then in Bengaluru at the swearing-n ceremony of HD Kumaraswamy.

However, in the home (Delhi) turf, AAP Congress are still political adversaries and both leaders kept the distance. 


",https://timesofindia.indiatimes.com/india/rahul-kejri-join-rjds-jantar-mantar-rally-but-avoid-being-in-same-frame/articleshow/65275824.cms,5 Aug 2018, 10:07
24,United they stand: Opposition parties join RJD protest,"NEW DELHI: “If one Nirbhaya can bring down the UPA government, 40 girls can topple 40 governments,” warned Delhi chief minister Arvind Kejriwal, expressing his solidarity at the protest called by RJD leader Tejashwi Yadav against the Bihar government for the Muzaffarpur shelter rapes. 


Kejriwal’s strong words, however, held a political irony as Congress chief Rahul Gandhi also shared the stage and the Nirbhaya case had proved a waterloo for UPA in terms of its image. But this was a minor ruffle on a day when opposition parties united over the demand for action against those guilty of rape of girls at a shelter home in Muzaffarpur, with Tejashwi calling the situation in Bihar as “Rakshas Raj”.

Rahul Gandhi said the country is witnessing a dangerous trend “where everyone who is weak is under attack”. Opposition leaders across party-lines demanded resignation of Bihar CM Nitish Kumar. JD(U) had appealed to Congress and Kejriwal to keep away from the protest but its words had little effect. 

Attacking the Centre and Bihar government and giving an “ultimatum” of 30 days to bring the culprits to book, Kejriwal said the Nitish Kumar government “continued to look the other way despite knowing what was happening with the children at the shelter home for months”. 

Warning BJP that people will not spare it if action is not taken against the culprits, Kejriwal said: “Even after things were brought to light by NGOs and other government agencies, the government continued to fund and refused to initiate action.”

The Delhi CM said it is clear that perpetrators had connections with top officials and political leaders. “I demand in three months the guilty should be hanged, no mater to which party they belong and how big they are,” he said, adding the issue was not one of politics. He criticised BJP for its “attitude” towards women, saying even foreign minister Sushma Swaraj was not spared (in social media over the Lucknow passport case). The protest was attended by Left leaders like Sitaram Yechury and D Raja besides representatives of Samajwadi Party, TMC and RLD among others.

Full report on www.toi.in


",https://timesofindia.indiatimes.com/india/united-they-stand-opposition-parties-join-rjd-protest/articleshow/65275820.cms,5 Aug 2018, 03:45
25,Congress Hopes To Protect Its Vote Bank: BJP Chief,"KANKROLI: BJP president Amit Shah on Saturday lashed out at Congress chief Rahul Gandhi on the NRC issue and demanded that he clear his stand on whether Bangladeshis who had infiltrated into India should be deported back to their country.


“Congress hopes to protect its vote bank. Ask Rahul ‘baba’ when he comes to Rajasthan — should not the Bangladeshi infiltrators be deported back? Should NRC be implemented or not; should the Bangladeshi infiltrators live in the country or not?” Shah said while addressing a huge gathering here to kickstart BJP’s campaign for the Rajasthan assembly polls.

Shah said the Modi government had initiated the screening for illegal Bangladeshis which Congress is objecting to. “BJP, Modi government does not act on the basis of vote banks. There is an SC order. We will implement it. Hum unko chinhit kar hi chhodenge (We will ensure that illegal migrants are identified),” he said.

Shah said he heard that Congress leaders had raised 40 questions for Rajasthan CM Vasundhara Raje. “Rahul baba too is demanding to know what we have done in the last four years. People in the country want an account of your four generations,” he said.

“Under the UPA government, Rajasthan was allotted Rs 1,09,000 crore while under Modi, it has been allotted Rs 2,63,000 crore,” Shah said.Shah said the allegation that BJP had diluted the SC/ ST Act was a lie. “It was an SC order and BJP worked towards strengthening the SC/ST Act,” he said.

",https://timesofindia.indiatimes.com/india/congress-hopes-to-protect-its-vote-bank-bjp-chief/articleshow/65275816.cms,5 Aug 2018, 03:40
26,Locals back doctors who were asked to move out for being Muslim,"KOLKATA: The four city doctors, who were asked to vacate a rented flat at Kudghat because of their religious identity, will continue to stay there.


Sanghati Abhijan — the volunteer group which came forward to help Aftab Alam and his friends — has sorted the issue by talking to locals, their landlord and the family members of the neighbour who opposed their stay.

When TOI spoke to the neighbour, he said it was a “small” matter and those young doctors, being immature, made a big issue out of it. “I didn’t make any communal statement, nor did I intend to hurt anyone’s religious sentiment. It was only for the security of the apartment that I wanted their ID cards.” However, he added that he was against the stay of four bachelors in and the same would be discussed at the evening meeting so that further misunderstandings do not occur. Since Thursday, TOI has been flooded with calls from people, who want to help resolve the issue. 

Alam said, “We will stay as other neighbours have stood by us. Also, our landlord did not have any problem so we have decided not to shift.” 

",https://timesofindia.indiatimes.com/india/locals-back-doctors-who-were-asked-to-move-out-for-being-muslim/articleshow/65275807.cms,5 Aug 2018, 03:31
27,Congress: BJP using NRC for ‘communal polarisation’,"NEW DELHI: Congress on Saturday accused BJP of a “diabolic agenda” to use the National Register of Citizens for communal polarisation and raised questions over the NRC’s exclusions even as it reiterated that the exercise is riddled with anomalies.


Congress claimed that it has aggressively pursued identification of illegal migrants but added that exclusion of 40 lakh residents from the register was marred by inaccuracies and BJP is attempting to divert attention from the “colossal failures” of the Modi government.

The Congress articulation on NRC came out more forcefully at a marathon discussion of the Congress Working Committee which had specially invited party MPs from Assam, including the state unit president and legislature party leader, to hear their views on the issue.

The CWC meeting also decided to launch a “public campaign” on Rafale deal to highlight what it called corruption in the Modi government and discussed “state of economy and lack of jobs”. “One of the highlights of today’s CWC meeting, was Mr Antony’s brilliant description of the Rafale robbery: 130,000 Cr. stolen from the people of India and given to a friend who was 45,000 crore in debt,” Rahul Gandhi tweeted.

During the discussion on Assam, former CM Tarun Gogoi argued he not only initiated the NRC process but also got the state electoral list scrutinised twice. Sources quoted him as saying that all those in the electoral list should be in the NRC.

In what appeared a riposte, state Congress chief Ripun Bora said doing so will give an impression that there were no illegal migrants. Gogoi clarified he was only underlining that he had reviewed the electoral rolls twice before holding the elections.

Congress spokesman Randeep Surjewala said the NRC was started by UPA and Tarun Gogoi regime in Assam completed 80% of the exercise.

“Congress supports the NRC process. But there are multiple anomalies in the final draft NRC list, leaving out 40 lakh persons comprising indigenous Assamese people, Hindu Bengalis, Nepalis, Gorkhas, Tea Tribes, religious minorities, Indian citizens from other states.” Surjewala also distributed Parliament questions to say UPA deported 82,728 persons to Bangladesh between 2005-13 while Modi government had only deported 1,822 from 2014-17.


",https://timesofindia.indiatimes.com/india/congress-bjp-using-nrc-for-communal-polarisation/articleshow/65275797.cms,5 Aug 2018, 03:23
28,Mehul Choksi clean chit: Mumbai police start probe,"NEW DELHI: A day after a police verification report giving clean chit to fugitive diamantaire Mehul Choksi sparked a controversy, the Mumbai police brass ordered an enquiry to find out if there were any lapses in the process even as senior Congress leader P Chidambaram wondered how the diamond merchant could have fled the country despite being under investigation since 2016.


The Mumbai police on Saturday defended its verification procedures for passport, saying that the criminal antecedents and information system (CAIS), used to check the criminal record of an applicant in a particular police station area, didn’t throw up any “criminal” on Choksi as he had never been arrested.

“On February 23, 2017, Mehul Choksi had applied for getting police clearance certificate (PCC) to RPO (regional passport office), Mumbai. The next day, Personal Particular Form was downloaded by Malabar Hill police station for verification. On March 10, 2017, the Malabar Hill police station submitted a clear report i.e. no criminal antecedents against Mehul Choksi...” the Mumbai police said in a statement on Saturday. The report was forwarded to RPO on March 14, 2017, by passport branch SB-II, CID, Mumbai police. 

The police said the CAIS reflects the applicant’s name only if he has been arrested in any offence. At the time of issuance of Choksi’s passport in 2015 too, “no police verification status was granted by RPO Mumbai”, so no police verification (PVR) was generated by the city police, the statement added. 

",https://timesofindia.indiatimes.com/india/choksi-clean-chit-mum-police-start-probe/articleshow/65275792.cms,5 Aug 2018, 09:43
